Date,PRET_UBER,PRET_NASDAQ,PRET_LYFT
10.07.2023,42.779999,13574.21973,11.02
11.07.2023,44.360001,13407.23047,11.55
12.07.2023,44.52,13567.98047,11.44
13.07.2023,45.639999,13533.75,11.55
14.07.2023,44.75,13314.29981,11.3
17.07.2023,45.509998,13186.17969,11.48
18.07.2023,47.41,12983.80957,11.77
19.07.2023,47.119999,13018.33008,12.18
20.07.2023,46.57,13139.87012,11.42
21.07.2023,47.23,12821.21973,11.42
24.07.2023,47.32,12595.61035,11.67
25.07.2023,47.169998,12643.00977,11.56
26.07.2023,47.310001,12789.48047,12.2
27.07.2023,46.610001,12851.24023,11.95
28.07.2023,48.139999,13061.46973,12.48
31.07.2023,49.459999,13294.19043,12.71
01.08.2023,46.650002,13478.28027,12.23
02.08.2023,46.959999,13518.78027,11.71
03.08.2023,45.91,13639.86035,11.51
04.08.2023,45.200001,13650.41016,10.85
07.08.2023,44.950001,13521.4502,10.97
08.08.2023,45.16,13798.11035,11.56
09.08.2023,44.110001,13767.74023,10.4
10.08.2023,44.599998,14094.37988,11.04
11.08.2023,43.709999,14103.83984,11.38
14.08.2023,44.849998,14113.66992,11.64
15.08.2023,44.080002,14125.48047,12.08
16.08.2023,43.650002,14284.53027,11.36
17.08.2023,43.970001,14199.98047,11.06
18.08.2023,44.689999,14265.86035,11.13
21.08.2023,44.630001,14250.84961,11.1
22.08.2023,44.349998,14241.01953,10.81
23.08.2023,45.139999,14281.75977,10.72
24.08.2023,44.68,14258.49023,10.58
25.08.2023,43.959999,14226.21973,10.22
28.08.2023,44.150002,14305.03027,10.28
29.08.2023,45.349998,14185.49023,10.77
30.08.2023,46.509998,14229.91016,11.68
31.08.2023,47.23,14146.70996,11.78
01.09.2023,47.040001,14339.99023,12.34
05.09.2023,46.549999,14403.96973,11.84
06.09.2023,45.900002,14432.49023,10.97
07.09.2023,46.27,14533.40039,10.79
08.09.2023,47.240002,14733.95996,10.82
11.09.2023,48.939999,14761.55957,11.33
12.09.2023,47.919998,14813.91992,11.42
13.09.2023,48.16,14904.80957,11.27
14.09.2023,48.32,15003.21973,11.34
15.09.2023,47.52,14777.94043,11.28
18.09.2023,46.509998,14963.87012,10.83
19.09.2023,47.59,14992.96973,11.19
20.09.2023,46.549999,15074.57031,10.68
21.09.2023,44.599998,15099.17969,10.33
22.09.2023,44.41,15095.13965,9.94
25.09.2023,44.91,15011.34961,9.78
26.09.2023,44.27,14765.94043,9.92
27.09.2023,45.139999,14592.20996,10.32
28.09.2023,46.139999,14510.29981,10.51
29.09.2023,45.990002,14524.07031,10.54
02.10.2023,45.68,14843.76953,10.51
03.10.2023,44.509998,14857.70996,10.07
04.10.2023,44.939999,14969.65039,10.22
05.10.2023,44.610001,14970.19043,10.25
06.10.2023,45.779999,14972.75977,11.09
09.10.2023,45.450001,14944.34961,10.99
10.10.2023,46.630001,14855.62012,11.18
11.10.2023,46.639999,15055.65039,11.37
12.10.2023,45.950001,15310.96973,10.66
13.10.2023,43.48,15360.29004,10.07
16.10.2023,44.709999,15425.94043,10.54
17.10.2023,44.380001,15481.91992,10.82
18.10.2023,43,15510.5,10.31
19.10.2023,42.720001,15455.36035,10.09
20.10.2023,42.959999,15628.04004,10.1
23.10.2023,43.040001,15509.90039,9.99
24.10.2023,44.189999,15164.00977,10.33
25.10.2023,42.349998,15361.63965,9.79
26.10.2023,40.619999,15628.9502,9.43
27.10.2023,41.23,15597.67969,9.26
30.10.2023,42.73,15609,9.43
31.10.2023,43.279999,15756.63965,9.17
01.11.2023,43.830002,15793.70996,9.17
02.11.2023,46.48,15990.66016,9.94
03.11.2023,47.75,15942.54981,10.66
06.11.2023,48.139999,15655.59961,10.53
07.11.2023,49.919998,15859.15039,10.83
08.11.2023,49.5,15906.16992,10.72
09.11.2023,50.049999,15775.65039,10.08
10.11.2023,51.580002,15630.78027,10.26
13.11.2023,52.240002,15580.87012,9.77
14.11.2023,53.880001,16041.62012,10.51
15.11.2023,53.759998,15996.82031,10.86
16.11.2023,54.419998,15976.25,10.4
17.11.2023,54.439999,16035.29981,10.58
20.11.2023,54.75,15947.74023,10.39
21.11.2023,54.849998,16091.91992,10.38
22.11.2023,55.369999,16274.94043,10.29
24.11.2023,55.32,16207.50977,10.27
27.11.2023,56.060001,15939.58984,10.25
28.11.2023,56.209999,16031.54004,11.26
29.11.2023,56.400002,16273.37988,11.63
30.11.2023,56.380001,16085.11035,11.73
01.12.2023,57.349998,16019.26953,13.14
04.12.2023,58.630001,16265.63965,12.66
05.12.2023,57.970001,16177.76953,12.24
06.12.2023,59.75,16128.53027,12.21
07.12.2023,60.98,15973.16992,12.43
08.12.2023,61.700001,16103.4502,13.21
11.12.2023,62.459999,16166.79004,14.36
12.12.2023,62.720001,16369.41016,13.97
13.12.2023,61.970001,16401.83984,14.67
14.12.2023,62.5,16428.82031,15.23
15.12.2023,61.860001,16384.4707,15.55
18.12.2023,61.73,16315.7002,15.64
19.12.2023,62.119999,16399.51953,15.07
20.12.2023,60.68,16379.45996,15.06
21.12.2023,61.459999,16396.83008,15.59
22.12.2023,61.709999,16240.4502,15.35
26.12.2023,61.98,16277.45996,15.32
27.12.2023,63.279999,16049.08008,15.22
28.12.2023,63.139999,16248.51953,15.54
29.12.2023,61.57,16253.95996,14.99
