"Date","Rentabilitate_UBER","Rentabilitate_NASDAQ","Rentabilitate_LYFT"
"04.01.2023",0.0216876568735151,-0.00852236234260006,0.0332733812949642
"05.01.2023",-0.0138942879197221,0.0198610898153437,-0.0113141862489121
"06.01.2023",0.0332681422022756,-0.00351790661011264,0.051056338028169
"09.01.2023",0.0378787878787878,0.00282509881764681,0.0636515912897822
"10.01.2023",0.023357700729927,-0.000354471898983411,0.0480314960629922
"11.01.2023",0.0110555987498004,0.000314340580109373,0.0398196844477836
"12.01.2023",0.0239859259259259,-0.00803397617911583,0.0513005780346822
"13.01.2023",0.0141233202162137,0.0010697231457848,-0.00412371134020617
"17.01.2023",-0.00815217363613541,-0.00292067731985257,-0.00966183574879231
"18.01.2023",-0.00821924629386139,-0.0197753660356998,0
"19.01.2023",0.00241719621606329,0.00467740493828495,-0.00975609756097551
"20.01.2023",0.0458146728964977,0.0242856529013742,0.083743842364532
"23.01.2023",0.00559947280634132,0.00694598759392195,0.000649350649350566
"24.01.2023",-0.0196528326350202,-0.00114344893735818,-0.0071382219338092
"25.01.2023",0.0120280988974273,-0.0108158659268449,0.0366013071895424
"26.01.2023",-0.00891386566807972,-0.00456766237936668,-0.0315258511979823
"27.01.2023",0.0113258161225849,-0.0049004634058244,0.0533854166666667
"30.01.2023",-0.0240448608680875,0.0224804252935413,-0.0389369592088998
"31.01.2023",0.043874486799679,0.00175799255756215,0.045016077170418
"01.02.2023",0.0181053992887164,-0.0063123615480063,0.0399999999999998
"02.02.2023",0.0495395046046365,0.0104183341732234,0.0384614792899409
"03.02.2023",0.00121031773707481,0.00179331628227763,-0.00968661023855322
"06.02.2023",0.0244787549108492,-0.00355027013131048,-0.0017260645412005
"07.02.2023",0.0294985233334204,0.00655038108201023,0.03342939481268
"08.02.2023",0.0553008564297504,-0.00179213697718728,-0.0658114891243725
"09.02.2023",-0.0255227518043577,0.0127618783383974,-0.0316418507462686
"10.02.2023",-0.0443020352271396,0.015060875250579,-0.364364942315964
"13.02.2023",-0.0250728870283641,-0.00243831984563847,0.01454898157129
"14.02.2023",0.0535287396390172,0.00496763902879782,0.02868068833652
"15.02.2023",0.0283848992336078,-0.0126195301383033,0.0687732342007434
"16.02.2023",-0.000275986751310908,-0.00605798769928945,-0.0443478260869565
"17.02.2023",-0.0400331573707025,0.0171360890326804,0.0263876251137396
"21.02.2023",-0.0163934138625252,0.0218616022959246,-0.0523049645390071
"22.02.2023",0.00994152017714844,0.00321672748168367,0.00561272217025266
"23.02.2023",-0.00202663572592232,-0.00630997454613491,-0.0167441860465116
"24.02.2023",-0.0310414554383101,0.0128091777986914,-0.0350047303689689
"27.02.2023",0.00449092787479466,0.0106701220049983,-0.0196078431372548
"28.02.2023",-0.00864384526509221,-0.000856433606393203,0
"01.03.2023",-0.0081177395139953,0.00355194676574144,-0.01
"02.03.2023",0.0212184588530793,-0.0129191100487578,-0.0121212121212122
"03.03.2023",0.0261205409949701,0.0101961202316319,0.0347648261758691
"06.03.2023",-0.0199594735319641,0.00155758504213943,-0.0365612648221343
"07.03.2023",0.00767408477939546,0.0152936220111386,0.0133333333333334
"08.03.2023",-0.00380787943198246,0.00827522304857076,-0.0080971659919028
"09.03.2023",-0.0496912113902507,0.00391651849259289,-0.089795918367347
"10.03.2023",-0.0374380878712871,0.0114732370067381,-0.0235426008968609
"13.03.2023",-0.00932179333584726,-0.0067656689924589,-0.0287026406429391
"14.03.2023",0.0499675859831277,-0.00162753610927613,0.00591016548463341
"15.03.2023",-0.0120519773778744,-0.0120791934258242,0.0564042303172738
"16.03.2023",0.0237723185415175,0.00951031299328542,0.067853170189099
"17.03.2023",-0.0290253284448517,-0.0101309344522493,0.0479166666666668
"20.03.2023",0.00471991803902094,-0.0116167525013766,-0.0129224652087476
"21.03.2023",0.0291262449107421,0.0164886977400687,0.0533736153071502
"22.03.2023",-0.0407790918813422,0.00266162279053184,-0.0478011472275335
"23.03.2023",-0.0107868020304569,-3.08952121691464e-05,-0.0130522088353414
"24.03.2023",-0.0137908915971777,0.0144643562361337,0.00406917599186163
"27.03.2023",-0.00422760975609759,0.00209238305468773,-0.0273556231003039
"28.03.2023",-0.017962148335658,-0.00181801831068096,-0.0760416666666667
"29.03.2023",0.0266046225473893,-0.00816511054265501,0.0124013528748592
"30.03.2023",0.0103660508465808,-0.0013392979292719,0.0133630289532294
"31.03.2023",0.0163513941535303,0.00181255017959425,0.0186813186813186
"03.04.2023",-0.00757104077062964,0.00549631634526015,-0.0215749730312836
"04.04.2023",-0.0022250477503194,0.011500850806996,0.0529217199558987
"05.04.2023",-0.00860140199431036,0.0157777844487743,-0.0178010471204189
"06.04.2023",0.00192798836992325,-0.00175902580350784,0.00533049040511724
"10.04.2023",0.0179602309172546,0.00929947484643323,0.0509013785790031
"11.04.2023",-0.0195336798991809,0.00763003369432624,0.0443995963673056
"12.04.2023",-0.0170308799154602,0.00030514072435972,-0.0550724637681159
"13.04.2023",0.0277868911408956,-0.0205258085479147,0.0224948875255624
"14.04.2023",0.00127223278396205,-0.00216876403439648,0.0169999999999999
"17.04.2023",0.0190597839898348,0.00185711563105029,0.0275319567354966
"18.04.2023",-0.0109102861028499,0.0060950452823445,-0.0133971291866027
"19.04.2023",0.00976996533249275,-0.00122162163583017,-0.00387972841901074
"20.04.2023",-0.0168539632692271,-0.00546247533319433,-0.041869522882181
"21.04.2023",-0.0212698412698413,0.0189713677231012,0.0609756097560976
"24.04.2023",-0.00486539085306514,0.00205071362118581,-0.0210727969348657
